Date,Monthly Momentum,Quarterly Momentum,Monthly Mean Reversion,Quarterly Mean Reversion,SPX Equal-Weight
2020-10-01,1.0139513376909084,1.013930092377176,0.993259551193771,0.9921150331557136,1.0041061885297007
2020-10-02,0.9930214226690629,0.9930006158996614,0.9977422569777562,0.9965925735852627,0.998515651008037
2020-10-05,1.0147109976335087,1.0146897364026277,1.0163959147175992,1.015224736995921,1.015208823780758
2020-10-06,0.9995475259403098,0.999526582429522,1.0020515549030187,1.0008969059713557,1.0039414150649943
2020-10-07,1.0228876159336022,1.0228661833781079,1.0209899061616592,1.019813434852753,1.023431264429758
2020-10-08,1.0262953769224292,1.0262738729641478,1.042817178106515,1.0416155555605204,1.0329702305813901
2020-10-09,1.039748003896376,1.0397262180653164,1.0391835574587316,1.0379861218791446,1.0387826759076377
2020-10-12,1.055033663588955,1.055011557477598,1.0470936729552285,1.045887122668556,1.0499023255093174
2020-10-13,1.0547506306003784,1.0547285304194092,1.0281437266975346,1.0269590121488483,1.0424539116310552
2020-10-14,1.0396075500962494,1.0395857672081168,1.021105718477629,1.0199291137199336,1.0360915335291838
2020-10-15,1.0342158074170829,1.0341941375020887,1.0264386999551964,1.0252559500831746,1.036208574465301
2020-10-16,1.0311981767122125,1.0311765700256088,1.025808174314536,1.0246261509877241,1.0401838427278782
2020-10-19,1.015526456978644,1.0155051786614502,1.0091142416116397,1.0079514544523347,1.0251103075596646
2020-10-20,1.0197058570781052,1.019684491189977,1.0126353260394256,1.0114684815875064,1.0283296438884222
2020-10-21,1.012964147162032,1.012942922532894,1.0003286879401296,0.9991760242421487,1.0224919619770723
2020-10-22,1.0128059853828464,1.0127847640676708,1.0235379469008266,1.0223585395229096,1.0329024106463458
2020-10-23,1.0196560345918055,1.0196346697476073,1.0171975576441399,1.0160254562013773,1.03437810188484
2020-10-26,1.0012580713612687,1.0012370920094371,0.9899833800869811,0.9888426371316024,1.0140953318134467
2020-10-27,1.0025841970102312,1.0025631898721001,0.9677141782860401,0.9665990957968746,1.0048952137210785
2020-10-28,0.9628522089383276,0.9628320343042038,0.9395238505036472,0.9384412513050847,0.9729268536783624
2020-10-29,0.9740593730238754,0.9740389635661382,0.9503004950850391,0.9492054781210514,0.9832619479460885
2020-10-30,0.9524019825425393,0.9523820268719202,0.9485545949776508,0.9474615897880911,0.9771694596868428
2020-11-03,0.9726812917629325,0.9727206951524113,0.9570064725714529,0.9538321488358338,0.994247424828569
2020-11-04,1.014654709267785,1.0151926194878276,0.9720404976498546,0.9596260347761424,1.0082110800228195
2020-11-05,1.0369964245003276,1.0376230287539134,0.9823729945177342,0.9696085145981538,1.0284863645200575
2020-11-06,1.0427094479583077,1.0432696771706784,0.9803235107424799,0.9639312744645947,1.0301377908455616
2020-11-09,1.0364753673243527,1.036898592039119,1.0332628137087836,1.0426837131019642,1.061722944094974
2020-11-10,1.0137503566054475,1.0139100050685765,1.0501121482361686,1.0683947146101396,1.0662783001866403
2020-11-11,1.034372387538974,1.0345712528695161,1.0505903604421432,1.0631242452537717,1.0717902928367526
2020-11-12,1.0280628741065168,1.0282997867260464,1.0338195383296285,1.040384847544992,1.0591559307763694
2020-11-13,1.0369949601211872,1.0372218863690161,1.0570632858009124,1.0710655630051877,1.0772455357261912
2020-11-16,1.044589096445069,1.0447934906790104,1.0830641602662054,1.1109668430639366,1.0929240932800572
2020-11-17,1.0430126704236493,1.0432286640715183,1.0805926652069298,1.1101320221999007,1.0920338678029562
2020-11-18,1.028179398518933,1.0283765215091338,1.0692064426472747,1.0989623672860989,1.0819302142925966
2020-11-19,1.034135967887477,1.0344289831499276,1.0750264312729454,1.1072756779093922,1.0874049385661688
2020-11-20,1.0240443953065446,1.0242384953721633,1.0677551848646656,1.100743619516749,1.08060707812213
2020-11-23,1.0251925168408762,1.0254594537673762,1.089648817058945,1.1362769160268091,1.0950160441001258
2020-11-24,1.0339448121032855,1.0342916459878508,1.1201569442494073,1.1782279327178808,1.1183286214713768
2020-11-25,1.036957327396154,1.037191871815291,1.1127397190138757,1.1655494530357755,1.117480628669619
2020-11-27,1.0427404844572339,1.0430865184447398,1.1128056929985324,1.1611060826603259,1.11808165409296
2020-11-30,1.0479145848755125,1.048358831313178,1.0966369478151614,1.1318694407517462,1.1096995366904099
2020-12-01,1.0553798831715155,1.0557265834946954,1.1062787472079316,1.140895728952818,1.1194169670263199
2020-12-02,1.0524009294657333,1.0529566766865996,1.0963239747405091,1.1612281256346333,1.1234292252969038
2020-12-03,1.049310028127277,1.050479815772875,1.0947665363443606,1.1734341163561248,1.125826413954379
2020-12-04,1.05738169589974,1.0586299383631717,1.1036893334285256,1.2047237730129932,1.1389799857591778
2020-12-07,1.0629150151947437,1.0641670760468152,1.1057749461042032,1.186428960622005,1.1382138109329605
2020-12-08,1.0615430027450576,1.0626848648140395,1.109600096971185,1.1950362099056435,1.1404004940375065
2020-12-09,1.0478232793033624,1.0486077369250004,1.0991305537022198,1.1994443921507392,1.1359877956339943
2020-12-10,1.0495102410791888,1.0502311212287931,1.09895938045345,1.2106724463984653,1.1350905219470488
2020-12-11,1.0464475859533846,1.0473824380455359,1.098639399932379,1.1999664182210772,1.1321658190383157
2020-12-14,1.0532974151371546,1.0544384237492779,1.1039586566003685,1.181568726058814,1.1254117321093242
2020-12-15,1.0624000480116453,1.0637519983656576,1.1093503027633458,1.195521552387717,1.1364804204696721
2020-12-16,1.0652160733012688,1.0675528274130315,1.116022807971717,1.1939867606869106,1.1363862889990122
