Date,CVaR Index (with Txn Cost)
2010-04-01,1.006741395429147
2010-04-05,1.012717569215124
2010-04-06,1.0123508761077686
2010-04-07,1.0049336493567538
2010-04-08,1.0060435099907792
2010-04-09,1.0126675775128116
2010-04-12,1.0127597419253982
2010-04-13,1.0181043334084185
2010-04-14,1.0239269762629872
2010-04-15,1.0230664560215055
2010-04-16,1.014303202235259
2010-04-19,1.0187572601273933
2010-04-20,1.02563467235279
2010-04-21,1.0190982068338692
2010-04-22,1.032034664916623
2010-04-23,1.0342781171691842
2010-04-26,1.0365665263703059
2010-04-27,1.0193403024011773
2010-04-28,1.0248900264801617
2010-04-29,1.0328128875669793
2010-04-30,1.021703649070474
2010-05-03,1.0370375202255584
2010-05-04,1.0202349777602226
2010-05-05,1.020309193478855
2010-05-06,0.9965320168190253
2010-05-07,0.9858108483083813
2010-05-10,1.0191992384364155
2010-05-11,1.0189763937803955
2010-05-12,1.033546180650261
2010-05-13,1.0252226154664206
2010-05-14,1.007824391484192
2010-05-17,1.0173093157536994
2010-05-18,1.0045187391751704
2010-05-19,1.0012676407404955
2010-05-20,0.9667516331830478
2010-05-21,0.9776367445064296
2010-05-24,0.9691254927138274
2010-05-25,0.9667384686420782
2010-05-26,0.956889474895922
2010-05-27,0.9811666410114105
2010-05-28,0.972827465812619
2010-06-01,0.9657715696505611
2010-06-02,0.9821419815324651
2010-06-03,0.9846008324306627
2010-06-04,0.9593188027151388
2010-06-07,0.9520245549913027
2010-06-08,0.9643772048869205
2010-06-09,0.9637305334419369
2010-06-10,0.9805719308273186
2010-06-11,0.9835414136645347
2010-06-14,0.9845768826981924
2010-06-15,1.000399129190358
2010-06-16,1.0016554707262606
2010-06-17,1.0068808223062975
2010-06-18,1.0104686565867007
2010-06-21,1.004982142069088
2010-06-22,0.9948575135792983
2010-06-23,0.9905280815387608
2010-06-24,0.9810527838531505
2010-06-25,0.9817190257264043
2010-06-28,0.9814558349360819
2010-06-29,0.9609587138748218
2010-06-30,0.9498548010673267
2010-07-01,0.9523175979163487
2010-07-02,0.9536914660918885
2010-07-06,0.9564273940885428
2010-07-07,0.9796160945230113
2010-07-08,0.9883866638066797
2010-07-09,0.995296324826202
2010-07-12,0.9961342526889563
2010-07-13,1.003586941397687
2010-07-14,1.001385359619985
2010-07-15,1.0060723095720148
2010-07-16,0.9837709349026357
2010-07-19,0.9868982967845302
2010-07-20,0.9993203287802829
2010-07-21,0.9905820083467389
2010-07-22,1.0049896053760572
2010-07-23,1.009827222073325
2010-07-26,1.0177716305227074
2010-07-27,1.022260853786338
2010-07-28,1.0125142763180055
2010-07-29,1.003558942469726
2010-07-30,1.00551492439072
2010-08-02,1.0158116073740246
2010-08-03,1.0130087702258177
2010-08-04,1.0196950988942017
2010-08-05,1.024997067170858
2010-08-06,1.0249396870844991
2010-08-09,1.0339697153852538
2010-08-10,1.0346392301138296
2010-08-11,1.0126954852949184
2010-08-12,1.0165256524444706
2010-08-13,1.0100657580681829
2010-08-16,1.0104229300759493
2010-08-17,1.0172602968678846
2010-08-18,1.01853788196722
2010-08-19,1.00508571043621
2010-08-20,1.0037777576773375
2010-08-23,1.004286793513337
2010-08-24,1.0002162707183486
